,Product_Name,Category,City,Original_Price,Current_Price,Discount,Orders,Total_Revenue,Influencer_Active,Cost,Profit,Total_discount,Gross_Revenue,Date
223,Fortune Oil 1L,Grocery,Mumbai,27,27,0,116,3132,No,2192.3999999999996,939.6000000000004,0,3132,2024-03-19
224,Nestle Munch,Confectionery,Chennai,187,197,10,94,17578,Yes,12962.599999999999,4615.4000000000015,940,18518,2024-04-05
225,Nestle Munch,Confectionery,Bangalore,136,151,5,119,17374,No,12578.3,4795.700000000001,595,17969,2024-01-23
226,Amul Milk 500ml,Dairy,Mumbai,23,28,10,287,5166,No,5625.2,-459.1999999999998,2870,8036,2024-01-18
227,Nestle Munch,Confectionery,Hyderabad,159,164,0,91,14924,No,10446.8,4477.200000000001,0,14924,2024-08-13
228,Aashirvaad Atta,Grocery,Chennai,81,91,5,95,8170,No,6051.5,2118.5,475,8645,2024-03-20
229,Oreo Biscuits,Snacks,Delhi,97,112,0,147,16464,No,11524.8,4939.200000000001,0,16464,2024-01-15
230,Maggi Noodles,Instant Food,Bangalore,128,128,5,70,8610,No,6272.0,2338.0,350,8960,2024-05-15
231,Maggi Noodles,Instant Food,Mumbai,139,139,5,143,19162,Yes,13913.9,5248.1,715,19877,2024-12-19
232,Britannia Cake,Snacks,Pune,131,141,10,154,20174,No,15199.799999999997,4974.200000000003,1540,21714,2024-10-07
233,Oreo Biscuits,Snacks,Bangalore,74,79,0,257,20303,No,14212.099999999999,6090.9000000000015,0,20303,2024-05-27
234,Parle-G,Snacks,Delhi,43,43,0,94,4042,Yes,2829.3999999999996,1212.6000000000004,0,4042,2024-09-02
235,Oreo Biscuits,Snacks,Pune,81,81,0,154,12474,Yes,8731.8,3742.2000000000007,0,12474,2024-11-24
236,Amul Milk 500ml,Dairy,Mumbai,59,64,10,111,5994,No,4972.799999999999,1021.2000000000007,1110,7104,2024-11-05
237,Oreo Biscuits,Snacks,Mumbai,76,76,0,238,18088,No,12661.599999999999,5426.4000000000015,0,18088,2024-07-14
238,Coca Cola 1L,Beverages,Mumbai,140,155,5,259,38850,No,28101.5,10748.5,1295,40145,2024-05-08
239,Parle-G,Snacks,Hyderabad,63,78,10,106,7208,No,5787.599999999999,1420.4000000000005,1060,8268,2024-05-17
240,Nestle Munch,Confectionery,Bangalore,181,186,10,108,19008,No,14061.599999999999,4946.4000000000015,1080,20088,2024-04-18
241,Fortune Oil 1L,Grocery,Hyderabad,129,144,0,204,29376,No,20563.2,8812.8,0,29376,2024-04-29
242,Pepsi 500ml,Beverages,Bangalore,24,29,5,137,3288,No,2781.0999999999995,506.90000000000055,685,3973,2024-12-01
243,Coca Cola 1L,Beverages,Delhi,82,87,5,77,6314,No,4689.3,1624.6999999999998,385,6699,2024-11-30
244,Nestle Munch,Confectionery,Mumbai,87,92,10,255,20910,No,16421.999999999996,4488.000000000004,2550,23460,2024-01-04
245,Coca Cola 1L,Beverages,Bangalore,174,184,0,129,23736,No,16615.199999999997,7120.800000000003,0,23736,2024-02-11
246,Amul Milk 500ml,Dairy,Delhi,63,63,0,178,11214,No,7849.799999999999,3364.2000000000007,0,11214,2024-10-04
247,Oreo Biscuits,Snacks,Chennai,149,159,10,269,40081,No,29939.7,10141.3,2690,42771,2024-06-13
248,Nestle Munch,Confectionery,Hyderabad,119,119,0,230,27370,No,19159.0,8211.0,0,27370,2024-07-02
249,Britannia Cake,Snacks,Delhi,106,116,0,115,13340,Yes,9337.999999999998,4002.000000000002,0,13340,2024-07-04
250,Coca Cola 1L,Beverages,Hyderabad,85,90,5,195,16575,Yes,12284.999999999998,4290.000000000002,975,17550,2024-06-10
251,Fortune Oil 1L,Grocery,Bangalore,129,139,0,195,27105,Yes,18973.5,8131.5,0,27105,2024-02-27
252,Maggi Noodles,Instant Food,Pune,80,85,10,67,5025,Yes,3986.4999999999995,1038.5000000000005,670,5695,2024-11-13
253,Parle-G,Snacks,Delhi,184,194,0,271,52574,Yes,36801.799999999996,15772.200000000004,0,52574,2024-09-23
254,Oreo Biscuits,Snacks,Delhi,163,178,5,214,37022,Yes,26664.399999999998,10357.600000000002,1070,38092,2024-09-02
255,Coca Cola 1L,Beverages,Delhi,175,190,5,288,53280,Yes,38304.0,14976.0,1440,54720,2024-10-29
256,Coca Cola 1L,Beverages,Chennai,72,82,0,105,8610,No,6027.0,2583.0,0,8610,2024-04-26
257,Maggi Noodles,Instant Food,Bangalore,160,165,0,157,25905,No,18133.499999999996,7771.500000000004,0,25905,2024-10-28
258,Fortune Oil 1L,Grocery,Bangalore,132,142,5,225,30825,No,22364.999999999996,8460.000000000004,1125,31950,2024-05-10
259,Nestle Munch,Confectionery,Hyderabad,69,69,10,243,14337,Yes,11736.9,2600.1000000000004,2430,16767,2024-11-10
260,Nestle Munch,Confectionery,Delhi,75,80,10,107,7490,No,5992.0,1498.0,1070,8560,2024-07-17
261,Coca Cola 1L,Beverages,Hyderabad,180,185,10,226,39550,Yes,29267.0,10283.0,2260,41810,2024-05-07
262,Fortune Oil 1L,Grocery,Hyderabad,147,152,5,105,15435,Yes,11172.0,4263.0,525,15960,2024-09-22
263,Pepsi 500ml,Beverages,Chennai,59,64,10,229,12366,No,10259.199999999999,2106.800000000001,2290,14656,2024-09-15
264,Aashirvaad Atta,Grocery,Bangalore,113,128,5,90,11070,Yes,8063.999999999999,3006.000000000001,450,11520,2024-11-01
265,Maggi Noodles,Instant Food,Pune,40,50,5,104,4680,No,3640.0,1040.0,520,5200,2024-08-17
266,Parle-G,Snacks,Bangalore,75,80,10,108,7560,No,6048.0,1512.0,1080,8640,2024-03-06
267,Maggi Noodles,Instant Food,Hyderabad,26,36,0,184,6624,No,4636.8,1987.1999999999998,0,6624,2024-08-13
268,Aashirvaad Atta,Grocery,Hyderabad,51,61,10,161,8211,No,6874.699999999999,1336.300000000001,1610,9821,2024-04-05
269,Parle-G,Snacks,Bangalore,101,111,0,85,9435,Yes,6604.499999999999,2830.500000000001,0,9435,2024-10-10
270,Nestle Munch,Confectionery,Hyderabad,175,190,5,80,14800,No,10640.0,4160.0,400,15200,2024-10-09
271,Nestle Munch,Confectionery,Pune,21,21,5,87,1392,No,1278.8999999999999,113.10000000000014,435,1827,2024-07-21
272,Maggi Noodles,Instant Food,Delhi,117,132,0,129,17028,No,11919.599999999999,5108.4000000000015,0,17028,2024-11-21
273,Aashirvaad Atta,Grocery,Pune,70,75,0,270,20250,No,14175.0,6075.0,0,20250,2024-05-26
274,Fortune Oil 1L,Grocery,Bangalore,107,107,10,193,18721,Yes,14455.699999999999,4265.300000000001,1930,20651,2024-12-26
275,Maggi Noodles,Instant Food,Pune,198,213,5,136,28288,No,20277.6,8010.4000000000015,680,28968,2024-07-12
276,Parle-G,Snacks,Pune,161,161,0,188,30268,No,21187.6,9080.400000000001,0,30268,2024-07-01
277,Nestle Munch,Confectionery,Hyderabad,137,147,5,211,29962,No,21711.899999999998,8250.100000000002,1055,31017,2024-07-21
278,Maggi Noodles,Instant Food,Hyderabad,45,55,10,84,3780,Yes,3234.0,546.0,840,4620,2024-04-17
279,Nestle Munch,Confectionery,Bangalore,191,206,10,297,58212,No,42827.399999999994,15384.600000000006,2970,61182,2024-04-21
280,Maggi Noodles,Instant Food,Pune,125,130,0,214,27820,No,19474.0,8346.0,0,27820,2024-09-07
281,Amul Milk 500ml,Dairy,Chennai,171,186,5,60,10860,No,7811.999999999999,3048.000000000001,300,11160,2024-10-02
282,Fortune Oil 1L,Grocery,Pune,57,72,5,196,13132,Yes,9878.4,3253.6000000000004,980,14112,2024-12-06
283,Parle-G,Snacks,Pune,56,56,10,251,11546,No,9839.199999999999,1706.800000000001,2510,14056,2024-07-12
284,Aashirvaad Atta,Grocery,Bangalore,70,70,0,218,15260,No,10682.0,4578.0,0,15260,2024-09-29
285,Aashirvaad Atta,Grocery,Mumbai,57,67,0,131,8777,Yes,6143.9,2633.1000000000004,0,8777,2024-11-03
286,Parle-G,Snacks,Hyderabad,104,114,5,255,27795,No,20349.0,7446.0,1275,29070,2024-04-17
287,Coca Cola 1L,Beverages,Delhi,82,87,0,180,15660,No,10962.0,4698.0,0,15660,2024-09-03
288,Fortune Oil 1L,Grocery,Delhi,119,129,10,164,19516,No,14809.199999999999,4706.800000000001,1640,21156,2024-07-15
289,Parle-G,Snacks,Delhi,48,58,10,244,11712,No,9906.399999999998,1805.6000000000022,2440,14152,2024-09-17
290,Amul Milk 500ml,Dairy,Mumbai,88,93,5,72,6336,Yes,4687.2,1648.8000000000002,360,6696,2024-08-29
291,Nestle Munch,Confectionery,Pune,32,32,0,67,2144,No,1500.8,643.2,0,2144,2024-06-18
292,Nestle Munch,Confectionery,Mumbai,31,46,10,161,5796,No,5184.199999999999,611.8000000000011,1610,7406,2024-12-06
293,Maggi Noodles,Instant Food,Pune,125,140,0,283,39620,Yes,27734.0,11886.0,0,39620,2024-05-27
294,Parle-G,Snacks,Bangalore,134,144,0,190,27360,Yes,19152.0,8208.0,0,27360,2024-02-05
295,Britannia Cake,Snacks,Pune,198,198,5,52,10036,Yes,7207.2,2828.8,260,10296,2024-09-20
296,Amul Milk 500ml,Dairy,Hyderabad,131,146,10,146,19856,No,14921.199999999999,4934.800000000001,1460,21316,2024-09-02
297,Oreo Biscuits,Snacks,Delhi,171,176,10,291,48306,No,35851.2,12454.800000000003,2910,51216,2024-01-21
298,Amul Milk 500ml,Dairy,Mumbai,94,99,0,124,12276,No,8593.199999999999,3682.800000000001,0,12276,2024-05-18
299,Parle-G,Snacks,Chennai,129,129,10,272,32368,No,24561.6,7806.4000000000015,2720,35088,2024-05-02
